date,open,high,low,close,adj_close,volume
2020-01-02,1.35,1.38,1.35,1.35,1.35,4331
2020-01-03,1.36,1.49,1.36,1.47,1.47,42002
2020-01-06,1.51,1.51,1.36,1.43,1.43,18687
2020-01-07,1.39,1.44,1.36,1.43,1.43,13696
2020-01-08,1.41,1.58,1.36,1.51,1.51,90875
2020-01-09,1.57,1.63,1.43,1.45,1.45,27265
2020-01-10,1.45,1.52,1.41,1.48,1.48,35760
2020-01-13,1.52,1.7,1.42,1.52,1.52,27865
2020-01-14,1.51,1.55,1.5,1.55,1.55,5120
2020-01-15,1.54,1.8,1.54,1.61,1.61,51009
2020-01-16,1.69,1.72,1.63,1.63,1.63,17118
2020-01-17,1.67,1.67,1.4,1.4,1.4,51992
2020-01-21,1.41,1.47,1.41,1.41,1.41,7313
2020-01-22,1.49,1.55,1.44,1.53,1.53,26244
2020-01-23,1.48,1.48,1.41,1.44,1.44,3637
2020-01-24,1.47,1.47,1.35,1.36,1.36,34566
2020-01-27,1.34,1.37,1.25,1.31,1.31,9179
2020-01-28,1.33,1.34,1.21,1.26,1.26,33281
2020-01-29,1.21,1.26,1.14,1.16,1.16,18070
2020-01-30,1.16,1.24,1.1537,1.1603,1.1603,6980
2020-01-31,1.15,1.22,1.15,1.16,1.16,11597
2020-02-03,1.16,1.19,1.15,1.16,1.16,12660
2020-02-04,1.16,1.17,1.15,1.15,1.15,3660
2020-02-05,1.16,1.16,1.15,1.155,1.155,7109
2020-02-06,1.16,1.16,1.13,1.14,1.14,12885
2020-02-07,1.13,1.14,1.03,1.03,1.03,11886
2020-02-10,1.04,1.12,1.04,1.1,1.1,19361
2020-02-11,1.11,1.11,1.04,1.08,1.08,10738
2020-02-12,1.03,1.05,1.03,1.05,1.05,9540
2020-02-13,1.04,1.11,1.04,1.1,1.1,7586
2020-02-14,1.1,1.24,1.06,1.15,1.15,77087
2020-02-18,1.17,1.62,1.17,1.29,1.29,71700
2020-02-19,1.3,1.32,1.1,1.17,1.17,29248
2020-02-20,1.22,1.3,1.17,1.24,1.24,29329
2020-02-21,1.22,1.22,1.11,1.11,1.11,17509
2020-02-24,1.06,1.17,1.02,1.05,1.05,36145
2020-02-25,1.05,1.24,1.05,1.14,1.14,87109
2020-02-26,1.18,1.18,1.05,1.13,1.13,24556
2020-02-27,1.13,1.13,1.05,1.06,1.06,35284
2020-02-28,1.02,1.07,0.95,1.03,1.03,45927
2020-03-02,1.0,1.0,0.98,0.98,0.98,13454
2020-03-03,0.99,1.01,0.97,0.98,0.98,40794
2020-03-04,0.97,1.08,0.96,1.0,1.0,23757
2020-03-05,1.0,1.0,0.96,0.96,0.96,2613
2020-03-06,0.96,1.01,0.96,1.0,1.0,8938
2020-03-09,1.0,1.03,0.97,0.97,0.97,23688
2020-03-10,0.98,1.02,0.96,0.98,0.98,9133
2020-03-11,0.96,0.97,0.96,0.96,0.96,35567
2020-03-12,0.96,1.0,0.9,0.9,0.9,35881
2020-03-13,0.9,0.97,0.86,0.86,0.86,16377
2020-03-16,0.85,0.91,0.85,0.85,0.85,16221
2020-03-17,0.89,0.93,0.85,0.91,0.91,20252
2020-03-18,0.85,0.93,0.7,0.73,0.73,23639
2020-03-19,0.72,0.76,0.7,0.74,0.74,7828
2020-03-20,0.75,1.1,0.75,0.9,0.9,9185
2020-03-23,0.9,0.9,0.8,0.84,0.84,9018
2020-03-24,0.86,1.06,0.75,0.86,0.86,6528
2020-03-25,0.81,0.96,0.8,0.91,0.91,8775
2020-03-26,0.95,1.0,0.9,1.0,1.0,10984
2020-03-27,1.02,1.02,0.95,0.96,0.96,4271
2020-03-30,0.88,1.0,0.88,0.95,0.95,6499
2020-03-31,0.9,0.95,0.9,0.95,0.95,8266
2020-04-01,0.95,1.01,0.94,0.95,0.95,1883
2020-04-02,0.95,0.95,0.91,0.92,0.92,5156
2020-04-03,0.95,0.95,0.95,0.95,0.95,696
2020-04-06,0.95,0.95,0.94,0.95,0.95,3532
2020-04-07,0.95,0.95,0.8,0.9,0.9,19112
2020-04-08,0.9,0.9,0.82,0.88,0.88,14167
2020-04-09,0.88,0.91,0.8,0.85,0.85,22275
2020-04-13,0.82,0.86,0.82,0.82,0.82,5737
2020-04-14,0.83,0.89,0.82,0.82,0.82,9145
2020-04-15,0.82,0.861,0.82,0.861,0.861,2715
2020-04-16,0.87,0.87,0.82,0.85,0.85,8238
2020-04-17,0.83,0.86,0.82,0.84,0.84,7576
2020-04-20,0.83,0.85,0.83,0.83,0.83,3009
2020-04-21,0.78,0.78,0.7,0.77,0.77,10304
2020-04-22,0.77,0.78,0.75,0.76,0.76,16506
2020-04-23,0.78,0.78,0.74,0.74,0.74,3908
2020-04-24,0.81,0.81,0.75,0.75,0.75,7119
2020-04-27,0.75,0.79,0.61,0.67,0.67,62808
2020-04-28,0.69,0.75,0.69,0.75,0.75,20176
2020-04-29,0.74,0.74,0.71,0.72,0.72,17195
2020-04-30,0.76,0.76,0.72,0.72,0.72,10694
2020-05-01,0.8,0.8,0.65,0.74,0.74,33053
2020-05-04,0.74,0.74,0.7,0.71,0.71,11266
